# Generated by testdata/harfbuzz/usecategories.py. DO NOT EDIT.
#
# The USE category HarfBuzz's gen-use-table.py derives for each character
# it gives one other than O, from this repository's UCD and ms-use files:
# a range, a space, the category with its position.
# ucd IndicSyllabicCategory-17.0.0.txt
# generator harfbuzz-14.5.0
11A57..11A58 VPst
11A59..11A5B VBlw
11A5C..11A83 B
11A84..11A89 R
11A8A..11A95 FBlw
11A96..11A96 VMAbv
11A97..11A97 VMPst
11A98..11A98 CMAbv
11A99..11A99 IS
11A9D..11A9D B
11B60..11B60 VAbv
11B61..11B61 VPst
11B62..11B63 VBlw
11B64..11B64 VAbv
11B65..11B65 VPst
11B66..11B66 VAbv
11B67..11B67 VPst
11C00..11C08 B
11C0A..11C2E B
11C2F..11C2F VPst
11C30..11C31 VAbv
11C32..11C36 VBlw
11C38..11C3B VAbv
11C3C..11C3D VMAbv
11C3E..11C3E VMPst
11C3F..11C3F H
11C40..11C40 B
11C50..11C6C B
11C72..11C8F B
11C92..11CA7 SUB
11CA9..11CAF SUB
11CB0..11CB0 VBlw
11CB1..11CB1 VPre
11CB2..11CB2 VBlw
11CB3..11CB3 VAbv
11CB4..11CB4 VPst
11CB5..11CB6 VMAbv
11D00..11D06 B
11D08..11D09 B
11D0B..11D30 B
11D31..11D35 VAbv
11D36..11D36 VBlw
11D3A..11D3A VAbv
11D3C..11D3D VAbv
11D3F..11D3F VAbv
11D40..11D41 VMAbv
11D42..11D42 CMBlw
11D43..11D43 VAbv
11D44..11D44 VBlw
11D45..11D45 IS
11D46..11D46 R
11D47..11D47 MBlw
11D50..11D59 B
11D60..11D65 B
11D67..11D68 B
11D6A..11D89 B
11D8A..11D8E VPst
11D90..11D91 VAbv
11D93..11D94 VPst
11D95..11D95 VMAbv
11D96..11D96 VMPst
11D97..11D97 IS
11DA0..11DA9 B
11EE0..11EF1 B
11EF2..11EF2 GB
11EF3..11EF3 VAbv
11EF4..11EF4 VBlw
11EF5..11EF5 VPre
11EF6..11EF6 VPst
11F00..11F01 VMAbv
11F02..11F02 R
11F03..11F03 VMPst
11F04..11F10 B
11F12..11F33 B
11F34..11F35 VPst
11F36..11F37 VAbv
11F38..11F3A VBlw
11F3E..11F3F VPre
11F40..11F40 VAbv
11F41..11F41 VPst
11F42..11F42 IS
11F50..11F59 B
11F5A..11F5A CMAbv
13000..1342F G
13430..13436 J
13437..13437 SB
13438..13438 SE
13439..1343B J
1343C..1343F G
13440..13440 HR
13441..13446 G
13447..13455 HM
13460..143FA G
16100..1611D B
1611E..16129 VAbv
1612A..1612B MPre
1612C..1612C MPst
1612D..1612D VMAbv
1612E..1612E MBlw
1612F..1612F VBlw
16130..16139 B
16AC0..16AC9 B
16B00..16B2F B
16B30..16B36 VMAbv
16D40..16D42 VMPst
16D43..16D6A B
16D6B..16D6C VPst
16D70..16D79 B
16F00..16F4A B
16F4F..16F4F CMBlw
16F51..16F87 VBlw
16F8F..16F92 VMBlw
16FE4..16FE4 B
18B00..18CD5 B
18CFF..18CFF B
1BC00..1BC6A B
1BC70..1BC7C B
1BC80..1BC88 B
1BC90..1BC99 B
1BC9D..1BC9E CMBlw
1D173..1D17A WJ
1E100..1E12C B
1E130..1E136 VMAbv
1E137..1E13D B
