# Generated by testdata/harfbuzz/shape.py. DO NOT EDIT.
#
# What HarfBuzz produces for each line of corpus.txt, in order: the
# glyph index and advance of each glyph, and its offset where that is
# not zero. Advances and offsets are in font units.
# font-sha256 0bcb88de05a855aec38471d6317e860fa2a40d1c3ca93f2736b7c34ad9288d90
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# language und-x-hbscdflt
# cases 1110
19,977
61,1195 79,439
61,1195 80,0,-71,10
61,1195 84,0,-20,10
61,1195 88,0,-1,0
61,1195 90,0,-1,0
61,1195 92,677
61,1195 93,677
61,1195 94,0,-68,10
61,1195 98,0,-1,0
61,1195 100,376
61,1195 109,238
61,1195 112,391
19,977 112,391 19,977
19,977 112,391 20,977
19,977 112,391 21,781
19,977 112,391 22,781
19,977 112,391 23,967
19,977 112,391 24,1221
19,977 112,391 25,1221
19,977 112,391 26,1289
19,977 112,391 27,938
19,977 112,391 28,1258
19,977 112,391 29,976
19,977 112,391 30,1043
19,977 112,391 31,1479
19,977 112,391 32,991
19,977 112,391 33,991
19,977 112,391 34,1159
20,977 112,391 19,977
20,977 112,391 20,977
20,977 112,391 21,781
20,977 112,391 22,781
20,977 112,391 23,967
20,977 112,391 24,1221
20,977 112,391 25,1221
20,977 112,391 26,1289
20,977 112,391 27,938
20,977 112,391 28,1258
20,977 112,391 29,976
20,977 112,391 30,1043
20,977 112,391 31,1479
20,977 112,391 32,991
20,977 112,391 33,991
20,977 112,391 34,1159
21,781 112,391 19,977
21,781 112,391 20,977
21,781 112,391 21,781
21,781 112,391 22,781
21,781 112,391 23,967
21,781 112,391 24,1221
21,781 112,391 25,1221
21,781 112,391 26,1289
21,781 112,391 27,938
21,781 112,391 28,1258
21,781 112,391 29,976
21,781 112,391 30,1043
21,781 112,391 31,1479
21,781 112,391 32,991
21,781 112,391 33,991
21,781 112,391 34,1159
22,781 112,391 19,977
22,781 112,391 20,977
22,781 112,391 21,781
22,781 112,391 22,781
22,781 112,391 23,967
22,781 112,391 24,1221
22,781 112,391 25,1221
22,781 112,391 26,1289
22,781 112,391 27,938
22,781 112,391 28,1258
22,781 112,391 29,976
22,781 112,391 30,1043
22,781 112,391 31,1479
22,781 112,391 32,991
22,781 112,391 33,991
22,781 112,391 34,1159
23,967 112,391 19,977
23,967 112,391 20,977
23,967 112,391 21,781
23,967 112,391 22,781
23,967 112,391 23,967
23,967 112,391 24,1221
23,967 112,391 25,1221
23,967 112,391 26,1289
23,967 112,391 27,938
23,967 112,391 28,1258
23,967 112,391 29,976
23,967 112,391 30,1043
23,967 112,391 31,1479
23,967 112,391 32,991
23,967 112,391 33,991
23,967 112,391 34,1159
24,1221 112,391 19,977
24,1221 112,391 20,977
24,1221 112,391 21,781
24,1221 112,391 22,781
24,1221 112,391 23,967
24,1221 112,391 24,1221
24,1221 112,391 25,1221
24,1221 112,391 26,1289
24,1221 112,391 27,938
24,1221 112,391 28,1258
24,1221 112,391 29,976
24,1221 112,391 30,1043
24,1221 112,391 31,1479
24,1221 112,391 32,991
24,1221 112,391 33,991
24,1221 112,391 34,1159
25,1221 112,391 19,977
25,1221 112,391 20,977
25,1221 112,391 21,781
25,1221 112,391 22,781
25,1221 112,391 23,967
25,1221 112,391 24,1221
25,1221 112,391 25,1221
25,1221 112,391 26,1289
25,1221 112,391 27,938
25,1221 112,391 28,1258
25,1221 112,391 29,976
25,1221 112,391 30,1043
25,1221 112,391 31,1479
25,1221 112,391 32,991
25,1221 112,391 33,991
25,1221 112,391 34,1159
26,1289 112,391 19,977
26,1289 112,391 20,977
26,1289 112,391 21,781
26,1289 112,391 22,781
26,1289 112,391 23,967
26,1289 112,391 24,1221
26,1289 112,391 25,1221
26,1289 112,391 26,1289
26,1289 112,391 27,938
26,1289 112,391 28,1258
26,1289 112,391 29,976
26,1289 112,391 30,1043
26,1289 112,391 31,1479
26,1289 112,391 32,991
26,1289 112,391 33,991
26,1289 112,391 34,1159
27,938 112,391 19,977
27,938 112,391 20,977
27,938 112,391 21,781
27,938 112,391 22,781
27,938 112,391 23,967
27,938 112,391 24,1221
27,938 112,391 25,1221
27,938 112,391 26,1289
27,938 112,391 27,938
27,938 112,391 28,1258
27,938 112,391 29,976
27,938 112,391 30,1043
27,938 112,391 31,1479
27,938 112,391 32,991
27,938 112,391 33,991
27,938 112,391 34,1159
28,1258 112,391 19,977
28,1258 112,391 20,977
28,1258 112,391 21,781
28,1258 112,391 22,781
28,1258 112,391 23,967
28,1258 112,391 24,1221
28,1258 112,391 25,1221
28,1258 112,391 26,1289
28,1258 112,391 27,938
28,1258 112,391 28,1258
28,1258 112,391 29,976
28,1258 112,391 30,1043
28,1258 112,391 31,1479
28,1258 112,391 32,991
28,1258 112,391 33,991
28,1258 112,391 34,1159
29,976 112,391 19,977
29,976 112,391 20,977
29,976 112,391 21,781
29,976 112,391 22,781
29,976 112,391 23,967
29,976 112,391 24,1221
29,976 112,391 25,1221
